StoreId,StoreName
1,東京本店
2,新宿西口店
3,渋谷中央店
4,池袋サンシャイン店
5,上野アメ横店
6,秋葉原電気街店
7,品川駅前店
8,立川北口店
9,吉祥寺通り店
10,町田ツインズ店
11,横浜みなとみらい店
12,川崎ラゾーナ店
13,相模原中央店
14,千葉幕張店
15,船橋ららぽーと店
16,さいたま大宮店
17,川口産業道路店
18,水戸駅前店
19,宇都宮駅東店
20,前橋中央店
21,札幌大通店
22,仙台広瀬通り店
23,新潟古町店
24,金沢香林坊店
25,福井駅前店
26,静岡御幸通り店
27,浜松ザザシティ店
28,名古屋栄店
29,名古屋名駅店
30,豊田トヨタタウン店
31,岐阜長良川店
32,三重四日市店
33,京都四条河原町店
34,大阪梅田店
35,大阪難波店
36,堺東駅前店
37,神戸三宮店
38,姫路お城通り店
39,奈良三条通り店
40,和歌山駅前店
41,岡山表町店
42,広島紙屋町店
43,山口駅前店
44,徳島クレメント店
45,高松中央通り店
46,松山大街道店
47,高知はりまや橋店
48,福岡天神店
49,熊本下通り店
50,鹿児島天文館店
